dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,resnet50_imagenet_rgb3,5,123,stage1,8,River,0.6297709923664122
eurosat,resnet50_imagenet_rgb3,5,123,stage1,9,SeaLake,0.9015025041736227
eurosat,resnet50_imagenet_rgb3,5,123,stage2,0,AnnualCrop,0.8470588235294118
eurosat,resnet50_imagenet_rgb3,5,123,stage2,1,Forest,0.8424153166421208
eurosat,resnet50_imagenet_rgb3,5,123,stage2,2,HerbaceousVegetation,0.6404715127701375
eurosat,resnet50_imagenet_rgb3,5,123,stage2,3,Highway,0.4748201438848921
eurosat,resnet50_imagenet_rgb3,5,123,stage2,4,Industrial,0.7793594306049823
eurosat,resnet50_imagenet_rgb3,5,123,stage2,5,Pasture,0.7226107226107226
eurosat,resnet50_imagenet_rgb3,5,123,stage2,6,PermanentCrop,0.6866791744840526
eurosat,resnet50_imagenet_rgb3,5,123,stage2,7,Residential,0.8721804511278195
eurosat,resnet50_imagenet_rgb3,5,123,stage2,8,River,0.5531914893617021
eurosat,resnet50_imagenet_rgb3,5,123,stage2,9,SeaLake,0.9421768707482994
eurosat,swin_b_imagenet_rgb3,5,123,stage1,0,AnnualCrop,0.8221797323135756
eurosat,swin_b_imagenet_rgb3,5,123,stage1,1,Forest,0.6428571428571429
eurosat,swin_b_imagenet_rgb3,5,123,stage1,2,HerbaceousVegetation,0.7692307692307693
eurosat,swin_b_imagenet_rgb3,5,123,stage1,3,Highway,0.4010416666666667
eurosat,swin_b_imagenet_rgb3,5,123,stage1,4,Industrial,0.8316151202749141
eurosat,swin_b_imagenet_rgb3,5,123,stage1,5,Pasture,0.5810276679841897
eurosat,swin_b_imagenet_rgb3,5,123,stage1,6,PermanentCrop,0.6825053995680346
eurosat,swin_b_imagenet_rgb3,5,123,stage1,7,Residential,0.8231046931407943
eurosat,swin_b_imagenet_rgb3,5,123,stage1,8,River,0.5
eurosat,swin_b_imagenet_rgb3,5,123,stage1,9,SeaLake,0.7741007194244605
eurosat,swin_b_imagenet_rgb3,5,123,stage2,0,AnnualCrop,0.9222797927461139
eurosat,swin_b_imagenet_rgb3,5,123,stage2,1,Forest,0.8996960486322189
eurosat,swin_b_imagenet_rgb3,5,123,stage2,2,HerbaceousVegetation,0.8396946564885496
eurosat,swin_b_imagenet_rgb3,5,123,stage2,3,Highway,0.7370786516853932
eurosat,swin_b_imagenet_rgb3,5,123,stage2,4,Industrial,0.8888888888888888
eurosat,swin_b_imagenet_rgb3,5,123,stage2,5,Pasture,0.7973273942093542
eurosat,swin_b_imagenet_rgb3,5,123,stage2,6,PermanentCrop,0.7511520737327189
eurosat,swin_b_imagenet_rgb3,5,123,stage2,7,Residential,0.9405772495755518
eurosat,swin_b_imagenet_rgb3,5,123,stage2,8,River,0.6809338521400778
eurosat,swin_b_imagenet_rgb3,5,123,stage2,9,SeaLake,0.9153153153153153
eurosat,resnet50_scratch_ms9,5,42,stage1,0,AnnualCrop,0.1483375959079284
eurosat,resnet50_scratch_ms9,5,42,stage1,1,Forest,0.42349726775956287
