dataset,k_shot,stage,seed,config_a,config_b,p_raw,n_discordant,b_only,c_only,exact_used,n_err_a,n_err_b,n_err_both,jaccard,gpu_mismatch,p_holm,significant_holm_05
eurosat,10,stage2,42,swin_b_imagenet_ms9,swin_b_imagenet_rgb3,0.016537471325646508,337,191,146,False,267,312,121,0.26419213973799127,False,0.08268735662823254,False
eurosat,10,stage2,42,swin_b_imagenet_ms9,swin_b_satlas-ms_ms9,0.004980693437293943,317,133,184,False,267,216,83,0.2075,False,0.0373470757183085,True
eurosat,10,stage2,42,swin_b_imagenet_ms9,swin_b_satlas-rgb_rgb3,0.9127271461088795,333,165,168,False,267,264,99,0.22916666666666666,False,1.0,False
eurosat,10,stage2,42,swin_b_imagenet_ms9,swin_b_scratch_ms9,2.454215706125489e-133,987,880,107,False,267,1040,160,0.13949433304272013,False,9.571441253889406e-132,True
eurosat,10,stage2,42,swin_b_imagenet_rgb3,swin_b_satlas-ms_ms9,1.7011191384037114e-06,394,149,245,False,312,216,67,0.14533622559652928,False,2.381566793765196e-05,True
eurosat,10,stage2,42,swin_b_imagenet_rgb3,swin_b_satlas-rgb_rgb3,0.013759965325104132,364,158,206,False,312,264,106,0.225531914893617,False,0.0825597919506248,False
eurosat,10,stage2,42,swin_b_imagenet_rgb3,swin_b_scratch_ms9,5.296816142911004e-121,966,847,119,False,312,1040,193,0.16652286453839515,False,1.9598219728770716e-119,True
eurosat,10,stage2,42,swin_b_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,0.004668384464788563,276,162,114,False,216,264,102,0.2698412698412698,False,0.0373470757183085,True
eurosat,10,stage2,42,swin_b_satlas-ms_ms9,swin_b_scratch_ms9,8.039342552104688e-155,964,894,70,False,216,1040,146,0.13153153153153152,False,3.3765238718839687e-153,True
eurosat,10,stage2,42,swin_b_satlas-rgb_rgb3,swin_b_scratch_ms9,5.8649819778727e-134,990,883,107,False,264,1040,157,0.13687881429816914,False,2.3459927911490798e-132,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,resnet50_imagenet_rgb3,0.14095285633843216,388,179,209,False,304,274,95,0.19668737060041408,False,0.7047642816921608,False
eurosat,25,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-ms_ms9,0.0006984361709277978,379,156,223,False,304,237,81,0.17608695652173914,False,0.008381234051133574,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,resnet50_satlas-rgb_rgb3,0.5966405346973952,432,210,222,False,304,292,82,0.15953307392996108,False,1.0,False
